,Timestamp,Have you been in a plane?,Have you ever been skydiving,"When you first saw the dress, what was the color?",What's a popular food you don't like?,"When you look at a blue sky, do you see those swirly floaters in your vision? ",Have you ever had a car run out of gas while you were driving it? ,Name the first five animals you can think of,What's the weather like where you are right now?,Which of these can you do reasonably well?,What word can you never seem to spell on the first try? ,Do you eat condiments directly out of the fridge as a snack?,"When you adjust a thermostat that was set by someone else, it's usually because you want the room to be...","What color is the shirt/dress/upper-body-clothing you're wearing right now, if any? ",Do you get colds often? ,Pick a number from 1 to 100,"On a scale of 1 to 10, how good at spelling are you?",Do you know your Myers-Briggs type? ,Do you know your astrological sign? ,How many older siblings do you have? ,How many younger siblings do you have? ,How many twin/triplet/etc. siblings do you have? ,Do you feel sleepy a lot? ,Name a movie star,Do you spend a lot of time in the sun? ,Does broccoli taste bitter to you? ,Do you regularly stay awake much later than you meant to? ,Fill this text box with gibberish by mashing random keyboard keys,"On a scale of 1 to 5, where 1 is terrible and 3 is average, how good a driver do you think you are? ",Do you have any food allergies? ,Have you heard thunder or seen lightning in the past year?,Which do you prefer? ,Pick another number from 1 to 100,"When you think about stuff on the internet, where do you picture it being physically located? Even if you know it's not really how things work, is there a place you imagine websites and social media posts sitting before you look at them? If so, where is it?",Can you roll your tongue?,Can you pick things up with your toes? ,How old are you?,What color are the walls around you right now? ,What kind of cell phone do you have? ,What is the last thing you ate?,Which of these words do you know the meaning of?,"Please type ""cat"" here",Do you usually remember your dreams? ,Do you have strong opinions about text editors?,How do you feel about emoji?,Does it ever snow where you live? ,Do you strongly dislike the taste or texture of any of these things? ,Which of these do you regularly drink,Type five random words,Are you nervous about flying? ,"On a scale of 1 to 5, which number is your favorite? ",Which of these would you consider a sandwich?,Which of these describes you?,Would you say you have a good sense of direction? ,"Have you ever thrown out all your different pairs of socks/underwear, bought a bunch of replacements that were all one kind, and then told all your friends how great it was and how they should do it too? "
436,9/18/2019 9:48:00,Yes,"No, but maybe someday.",A color combination not listed here,tomato,"Yes, occasionally",No,"cat, dog, sheep, cow,pig",sunny,"Roller skate, Dive headfirst off a diving board, Ice skate, Ski, Cut vegetables with a knife, Swim, Change the oil on a car",,Yes,Cooler,grey,No,51.0,8.0,No,Yes,1,0,0,Yes,tom hanks,No,No,No,hjasfjdskafjsdfåfahskjdfhlsjk,3.0,No,Yes,Vanilla,51.0,in the core of the earth,What?,Yes,21,light blue,Android,pizza,"Amiable, Fleek",cat,No,Yes,Neutral 😐,Yes,Tomatoes,"Noncaffeinated Soda, Coffee, Milk, Beer, Tea, Water","cloud, coffee, leave, pen, bottle",No,4.0,"Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich",Cat-Person,Yes,"No, but I'm totally doing that now"
64,7/9/2018 10:53:25,No,No,What dress?,,No,No,,,,,No,Cooler,,No,97.0,5.0,No,No,0,0,0,No,,No,I never had it,No,637842800987642258908654221357907669643678,1.0,No,No,,73.0,,No,No,3,,I don't have a phone,,,,No,No,Neutral 😐,Yes,,,,No,3.0,"Sub/Hoagie, Open faced sandwich",,Yes,No
78,7/16/2018 10:37:46,Yes,"No, but maybe someday.",Blue and Black,Sushi,"Yes, occasionally",No,"Dog, Snake, Orangutan, Owl, Butterfly",Sunny,"Ice skate, Cut vegetables with a knife, Swim, Ride a horse",Guard/Gaurd,No,Cooler,Grayish Blue,Yes,23.0,10.0,Yes,Yes,1,0,0,,Michael Cera,No,I never had it,Yes," etgfuyhjwesdfujioxyhsedjwszedx,holqa\ml,hawsedolujwsedsfcviokjmdrfujherfserefsefsefsefsefefikowshjnolikeadawoidawjodiawjdoiajdoiajdoiawjdioadjoawijdoaidjoaidjqoifnoseignsgoisenoisejesjeoiw[prwjhtqweio0htqe;['tjqwep;gyihern;.jgnoipwejpweojflkfgjwpo;jwsehbgo3q2ujirqw3.ru2w3495rijkw3e457u4iqwoldjarf u1q3oplrkmq3r0i9op132ijkqrfhujiolwq32hjrnehnr9ou8uhj3p;5lrtj3ewqo0i8rtuyhj23qp;tj3qol8i0reujh3qp;5tjq3olpi9rujhq3wpiol;rjqwotiyhqolweithjnw4olithq3oruj23o;l3qujop;ewijt2wpty3890quytp24;ht2o095u23ptj2w3q09o83ruprjq3pioujrru3q2pijp90ruj3poruj34ujrpo23jr3powI want to have sex with a girl named Katyoaidjawiodjaoijoaijhfoiahfoawhdioawhdiowahawoidhaiodhaiodahioadh9o0iwqopqwjerolipqj",2.0,No,Yes,Chocolate,76.0,I don't picture it being physically located anywhere,What?,Yes,15,"red, gray and white striped wallpaper",Android,A packet of quavers,"Hubris, Fleek",I'd rather not,Yes,Yes,Negative 😠,Yes,"Carbonation (fizz), Yogurt","Milk, Water","Flummoxed, Head, Dog, Dragon, rockstar",Yes,4.0,"Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich","Dog-Person, Part of a subterranean race of dog people",No,No
595,5/8/2020 16:44:30,Yes,No,A color combination not listed here,,"Yes, occasionally",No,dog dolphin elephant cat clam,sunny,Swim,aritsocrat,No,Cooler,White,No,94.0,9.0,No,Yes,1,0,0,Yes,Robert Downey Jr.,No,No,Yes,FJAFJKLDSKF7JKFDJ,1.0,No,No,Chocolate,89.0,,No,Yes,10,light blue,I don't have a phone,a sandwich,"Soliloquy, Amiable, Fleek",no,No,No,Neutral 😐,Yes,"Beer, White wine, Red wine, Yogurt",Water,meme no slap cupcake dog,No,4.0,"Taco, Quesadilla, Sub/Hoagie, Hamburger",Dog-Person,No,"I did the throwing out thing, but didn't talk to everyone about it"
105,8/11/2018 15:46:15,Yes,Yes,I don't remember,grapes,I'm not sure what things you mean,No,snake dog mouse walrus bear,brisk,"Roller skate, Dive headfirst off a diving board, Ice skate, Cut vegetables with a knife, Swim, Do a back handspring",rheumatoid ,No,Cooler,black,Yes,3.15,6.0,No,No,1,0,0,No,Charlton Heston,No,No,No,Gibberish by mashing random keyboard keys,3.0,No,Yes,Vanilla,55.59,Inside my computer somewhere,No,No,,white,Android,sausage in a bun,"Rife, Amiable, Salient, Regolith, Lithe, Hubris, Fleek",cat here,No,No,Positive 😊,Yes,"Coffee, Tomatoes","Coffee, Milk, Tea",five random words,Yes,2.0,"Sub/Hoagie, Hamburger",Dog-Person,No,No
279,3/7/2019 10:09:45,No,No,What dress?,mushrooms,I'm not sure what things you mean,No,cow pig horse goat sheep deer,Cold,"Tie a sheet bend or bowline, Drive a stick shift, Solve a Rubik's cube, Ski, Cut vegetables with a knife, Change the oil on a car",Papanikolaou,No,Cooler,grey,No,8.0,10.0,No,Yes,0,2,1,Yes,Marilyn Monroe,Yes,No,No,gqhwyrer46uiyu7kueathketryj,5.0,No,Yes,Vanilla,8.0,No,No,No,19,white,iPhone,Peppermint patty,"Soliloquy, Tribution, Amiable, Revergent, Fleek",cat,No,No,Neutral 😐,Yes,Yogurt,Water,potato train desk hammer green,No,5.0,"Sub/Hoagie, Cheesesteak, Open faced sandwich",Dog-Person,Yes,No
367,6/17/2019 7:42:17,Yes,"No, but maybe someday.",A color combination not listed here,Peanut Butter,"Yes, constantly",No,"Penguin, dolphin, lizard, cobra, turtle",Frustratingly sunny,"Dunk a basketball, Dive headfirst off a diving board, Ice skate, Cut vegetables with a knife, Swim",Occasionally,Yes,Cooler,Blue,Yes,2.0,8.0,Yes,Yes,Null,One,None,Yes,Emma Watson? Wattson? Whatson?,No,No,Yes,"iofhaeilnjlzdhfopisdhfiooisNIHOIHFSURfdsnnjohz
hdhvhizdzHczd
idgvFJEzrhriJisrjojgipzhipvfhsi",3.0,No,Yes,Chocolate,22.0,Nope. It is . . . light traveling through glass fibers.,No,No,13,Green,I don't have a phone,Olives,"Tribution, Amiable, Lithe, Hubris",cat,Yes,Yes,Negative 😠,Yes,"Beer, White wine, Carbonation (fizz), Red wine, Cilantro, Coffee",Water,Your answer laurens turtle cramps,No,2.0,"Sub/Hoagie, Open faced sandwich",Part of a subterranean race of dog people,No,No
85,7/25/2018 20:24:08,Yes,"No, but maybe someday.",Blue and Black,Banana,"Yes, occasionally",No,Giraffe Penguin Seal Fox Tardigrade,Its always sunny in,"Ice skate, Ski, Cut vegetables with a knife, Swim, Ride a horse",Plageuis,No,Cooler,Blue,Yes,1337.0,8.0,Yes,Yes,1,0,0,Yes,Tom Holland,No,No,Yes,dhudshksdajhlasdfuducnmdjkhan,5.0,No,Yes,Vanilla,1337.0,Nope,Yes,Yes,1,Lavender,Android,Cereal,"Rife, Soliloquy, Tribution, Amiable, Salient, Lithe, Hubris, Apricity",dog,No,No,Positive 😊,No,,"Fruit Juice, Milk, Water",Tragedy Darth Plagueis the Wise,No,5.0,Sub/Hoagie,Part of a subterranean race of dog people,Yes,"No, but I'm totally doing that now"
0,5/21/2018 11:02:40,No,Yes,What dress?,food,"Yes, occasionally",No,snake dog ferret rat  animal,weatherly,"Roller skate, Solve a Rubik's cube, Dive headfirst off a diving board, Ice skate, Skateboard, Ski, Cut vegetables with a knife, Swim, Ride a horse, Change the oil on a car, Juggle",word,Yes,Warmer,neon ,No,324567890873.0,8.0,No,No,0,1,none,Yes,will smith,Yes,No,Yes,gedjwjhfijfijIHFUHUIFPWEQHUIPEHiphsiuPHSBDSUIPABDUISIDPB,5.0,No,Yes,Chocolate,2.0,"<Shortened for convenience>
",Yes,Yes,473829472904729307428472894782974982742874982374923,white,I don't have a phone,cookies,"Slickle, Rife, Soliloquy, Fination, Stipple, Peristeronic, Trephony, Tribution, Photoropter, Unitory, Amiable, Salient, Regolith, Lithe, Revergent, Hubris, Fleek, Cadine, Apricity",KaT,Yes,No,Neutral 😐,Yes,,"Caffeinated Soda, Coffee, Fruit Juice, Milk, Beer, Wine, Tea, Maple Syrup, Water",i wish i had a phone thats 6 now 8,No,5.0,"Quesadilla, Sub/Hoagie, Cheesesteak, Open faced sandwich","Dog-Person, Part of a subterranean race of dog people",Yes,"No, but I'm totally doing that now"
260,2/22/2019 15:24:54,No,"No, but maybe someday.",Blue and Black,Anything with tomatoes,"Yes, occasionally",Yes,Cat car leopard keyboard wolf,how about your place?,"Cut vegetables with a knife, Swim","""On the second try""",No,Cooler,"I'm a stick figure, why else would I be here?",No,3.1415926539999997,9.0,No,Yes,2,0,0,No,Interblag!,No,No,Yes,qqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq,3.0,No,No,Chocolate,2.7182818280000003,I ASKED FIRST YOU ANSWER FIRST DICKHEAD,Yes,Yes,π,drunk-tank pink,Android,... do stick figures eat?,"Soliloquy, Amiable",cat/car,Yes,Yes,Neutral 😐,Yes,"Beer, White wine, Red wine, Tomatoes","Noncaffeinated Soda, Fruit Juice, Milk, Maple Syrup, Water",Correct Horse Battery Staple Okay,No,3.0,"Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich",Cat-Person,Yes,"No, but I'm totally doing that now"
