,Timestamp,Have you been in a plane?,Have you ever been skydiving,"When you first saw the dress, what was the color?",What's a popular food you don't like?,"When you look at a blue sky, do you see those swirly floaters in your vision? ",Have you ever had a car run out of gas while you were driving it? ,Name the first five animals you can think of,What's the weather like where you are right now?,Which of these can you do reasonably well?,What word can you never seem to spell on the first try? ,Do you eat condiments directly out of the fridge as a snack?,"When you adjust a thermostat that was set by someone else, it's usually because you want the room to be...","What color is the shirt/dress/upper-body-clothing you're wearing right now, if any? ",Do you get colds often? ,Pick a number from 1 to 100,"On a scale of 1 to 10, how good at spelling are you?",Do you know your Myers-Briggs type? ,Do you know your astrological sign? ,How many older siblings do you have? ,How many younger siblings do you have? ,How many twin/triplet/etc. siblings do you have? ,Do you feel sleepy a lot? ,Name a movie star,Do you spend a lot of time in the sun? ,Does broccoli taste bitter to you? ,Do you regularly stay awake much later than you meant to? ,Fill this text box with gibberish by mashing random keyboard keys,"On a scale of 1 to 5, where 1 is terrible and 3 is average, how good a driver do you think you are? ",Do you have any food allergies? ,Have you heard thunder or seen lightning in the past year?,Which do you prefer? ,Pick another number from 1 to 100,"When you think about stuff on the internet, where do you picture it being physically located? Even if you know it's not really how things work, is there a place you imagine websites and social media posts sitting before you look at them? If so, where is it?",Can you roll your tongue?,Can you pick things up with your toes? ,How old are you?,What color are the walls around you right now? ,What kind of cell phone do you have? ,What is the last thing you ate?,Which of these words do you know the meaning of?,"Please type ""cat"" here",Do you usually remember your dreams? ,Do you have strong opinions about text editors?,How do you feel about emoji?,Does it ever snow where you live? ,Do you strongly dislike the taste or texture of any of these things? ,Which of these do you regularly drink,Type five random words,Are you nervous about flying? ,"On a scale of 1 to 5, which number is your favorite? ",Which of these would you consider a sandwich?,Which of these describes you?,Would you say you have a good sense of direction? ,"Have you ever thrown out all your different pairs of socks/underwear, bought a bunch of replacements that were all one kind, and then told all your friends how great it was and how they should do it too? "
485,11/14/2019 22:15:24,Yes,No,A color combination not listed here,Soda,"Yes, occasionally",No,Rat horse octopus trex cat,Dark,"Solve a Rubik's cube, Ice skate, Swim",Antidisestablishmentarianism ,No,,Purple ,Yes,43.0,8.0,No,Yes,0,None,0,No,,No,No,Yes,"hdhehdbdusjebdhhdhshhzy!/&281&:$),):!.7.!🤓☺️🤩🤩😇🤓😇🤪😌🤓🤣",,No,Yes,Chocolate,7.0,,What?,Yes,Anonymous ,Brown,iPhone,Candy ,"Peristeronic, Lithe",“Cat” here,No,No,Positive 😊,Yes,"Beer, White wine, Carbonation (fizz), Red wine, Cilantro, Coffee, Tomatoes, Yogurt",Water,Password correct horse battery staple ,No,3.0,,Cat-Person,No,"I did the throwing out thing, but didn't talk to everyone about it"
238,2/4/2019 4:07:26,Yes,"No, but maybe someday.",I don't remember,Burgers ,I'm not sure what things you mean,No,"dog
cat
cheetah
wolf
rhino

",warm and sunny,"Dunk a basketball, Roller skate, Ice skate, Cut vegetables with a knife, Swim",honored ,No,Cooler,T-shirt,Yes,94.0,10.0,Yes,No,0,1,0,Yes,Keanu Reevs,No,No,Yes,ejrenflekjnqelkfn,1.0,No,Yes,Vanilla,22.0,,Yes,Yes,14,white,Android,biscuits,"Slickle, Rife, Stipple, Unitory, Amiable, Salient, Regolith, Lithe, Hubris, Fleek, Apricity",cat,No,No,Positive 😊,No,Yogurt,"Milk, Water","cat
mouse 
red
gale
god",No,4.0,Open faced sandwich,Cat-Person,Yes,No
504,12/10/2019 19:28:18,Yes,"No, but maybe someday.",White and Gold,strawberry-bannana,"Yes, constantly",No,"Dog, Cat, Hippogriffe, Dragon, Cow",Rainy,"Tie a sheet bend or bowline, Run in high heels, Dive headfirst off a diving board, Ski, Cut vegetables with a knife, Swim",environment ,No,Cooler,brown,Yes,13.0,7.0,Yes,Yes,0,1,1,Yes,???,No,No,No,"a,dn'[oi431 
pQE.,RNTQ/,35H987BT5BV09842Q6YV083Q6]Y UO53QUI HYQIUTVQIUB4V[O4WB 6V4 ['43 ",2.0,Yes,Yes,Chocolate,13.0,World Wide Web,No,Yes,13,Beige,Android,Mango Rosewater Lassi,,*meow*,,No,Neutral 😐,Yes,"Cilantro, Coffee","Caffeinated Soda, Fruit Juice, Milk, Tea, Water","To type words, the question...",No,1.0,"Sub/Hoagie, Open faced sandwich",Half-Cat Half-Person,No,No
362,6/11/2019 18:39:06,Yes,No,Blue and Black,Hot chocolate,No,No,Dog cat lion bear elephant ,Sunny,"Dunk a basketball, Solve a Rubik's cube, Swim",Acknowledge,No,Cooler,Blue,Yes,47.0,7.0,Yes,Yes,0,1,0,Yes,Smith,No,Yes,No,Rcuvurxtvuctrvurcgivgpigvutvutcrvu,2.0,Yes,Yes,Chocolate,33.0,No,Yes,Yes,14,White ,iPhone,Frozen yogurt,"Rife, Soliloquy, Amiable, Salient, Hubris, Fleek",“cat” here,No,No,Neutral 😐,No,Tomatoes,"Noncaffeinated Soda, Fruit Juice, Milk, Water",Type five random words idiot,No,4.0,"Taco, Quesadilla, Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich, Calzone",Dog-Person,Yes,No
155,10/15/2018 14:40:43,Yes,"No, but maybe someday.",White and Gold,seafood,"Yes, occasionally",No,lion giraffe zebra cat possum,Don't know. Night time?,"Drive a stick shift, Solve a Rubik's cube, Swim",anatidaephobia,No,Warmer,Black,Yes,70.0,8.0,No,Yes,1,0,0,No,Kevin Bacon,No,No,Yes,dfbrsdggfnytjlosdztrby,3.0,No,Yes,Vanilla,41.0,folders in a remote undergroud military base,Yes,Yes,22,white,Android,raclette,"Soliloquy, Amiable, Regolith, Lithe, Hubris",cat,No,No,Neutral 😐,Yes,"Beer, Coffee","Caffeinated Soda, Fruit Juice, Milk",school duck company lion vendetta,No,4.0,Open faced sandwich,Dog-Person,Yes,No
345,5/18/2019 15:36:54,Yes,"No, but maybe someday.",What dress?,Nutella,"Yes, occasionally",No,"Dolphin, squirrel, Dragon, Sea Serpent, Moose",Let me check...Bright cloudy,"Tie a sheet bend or bowline, Ice skate, Cut vegetables with a knife",taut,No,Cooler,blue with small white stripes,No,43.0,9.0,No,No,4,2,0,Yes,Robert Downey Jr.,Yes,No,Yes,ZXNjrhjq[wpsdlkde[tkhj=3-0\,2.0,Yes,Yes,Vanilla,23.0,,What?,Yes,17,White,I don't have a phone,Water,"Rife, Soliloquy, Tribution, Amiable, Salient, Lithe, Hubris","""cat""",No,No,Neutral 😐,Yes,"Beer, White wine, Red wine, Coffee, Tomatoes","Noncaffeinated Soda, Milk, Water","pneumonoultramicroscopicsilicovolcanoconiosis, bugs, microphone, Sherlock, hat",No,3.0,"Sub/Hoagie, Hamburger",Cat-Person,Yes,No
325,4/23/2019 14:30:43,Yes,"No, but maybe someday.",Blue and Black,mushrooms,No,No,cat dog fly horse horsefly,"18.5°C, clear sky, mild winnd","Drive a stick shift, Solve a Rubik's cube, Cut vegetables with a knife",nesscecary,No,Warmer,black,Yes,54.0,8.0,No,Yes,1,0,1,Yes,"forgot his name, sorry",No,No,Yes,agrebgqe4b n9gqehr bgßq394 ghbueßrhgbeqnnrghbpqenunb0934htgboehaßb 9hß 43 4ßfh384 tbnqegp9emhbfüäwörum3v2rüwebfimwuuihb09p3egh8buifögnb734ghufdgh9b4hfadhfghh43qhut49t8zehuighösdv asnföarhg oüaeriang paeuirgn aoe tz3489gaeurgph3ia4 gßa9eüägrea,3.0,No,Yes,Vanilla,43.0,"a clean, well-lit server room in North America",Yes,Yes,19,blue,Android,roulades,Soliloquy,cat,No,Yes,Negative 😠,Yes,,"Coffee, Beer, Water",cat word paper water yes,No,5.0,,Cat-Person,Yes,"No, but I'm totally doing that now"
26,6/7/2018 12:41:11,Yes,No,Blue and Black,hot cheetos. I don't understand them.,"Yes, constantly",No,cat dog dolphin humans giraffes,sunny,"Cut vegetables with a knife, Juggle",foriegn,No,Cooler,i'm wearing a black jacket on top of a white shirt with stripes,Yes,-16.0,8.0,No,,,1,0,Yes,daniel hardcastle,Yes,No,Yes,phnwrbgnjrhpisvl nsdgnoevpiernf842gnoasioduvrouanjdoejnfvieyhwlvfneienrveifvnsivneirfsdivnierhgveksdvnv eirgneufvbeurfn9woeafnaweorufh380hf0vwuferhf0834hfspidn er8gh308 s;adv,1.0,Yes,Yes,Vanilla,-162.0,"large internet communities are analogous to cities, mods are police and the citizens are people that use that website. small communities are like small towns, etc.",Yes,Yes,31,red and white (one wall is red the rest are white),Other Smartphone,chocolate chip pop tarts and orange juice with water,"Slickle, Soliloquy, Unitory, Amiable, Salient, Regolith, Hubris, Fleek",dog,No,Yes,Negative 😠,No,"Beer, White wine, Red wine, Cilantro, Coffee, Tomatoes","Caffeinated Soda, Fruit Juice, Tea, Water",you are a big meanie,Yes,5.0,"Taco, Quesadilla, Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich, Calzone","Dog-Person, Cat-Person",No,"I did the throwing out thing, but didn't talk to everyone about it"
372,6/24/2019 10:34:33,Yes,No,White and Gold,Bananas,"Yes, constantly",Yes,"Dog, Cat, Mouse, Snake, Parrot",Sunny,"Tie a sheet bend or bowline, Ice skate, Cut vegetables with a knife, Swim",Necessary,No,Cooler,Black,No,99.0,8.0,Yes,Yes,1,1,0,Yes,Keanu Reeves,No,No,Yes,"wer6nz7mw48,wm4n64""§ ",5.0,No,Yes,Vanilla,17.0,In Space,Yes,Yes,25,White,Android,Currywurst,,cat,Yes,No,Neutral 😐,Yes,Cilantro,"Coffee, Beer, Water",Type five random words here,No,5.0,Open faced sandwich,Dog-Person,Yes,No
256,2/16/2019 18:55:49,Yes,"No, but maybe someday.",I don't remember,Junk food,"Yes, occasionally",No,"Cat, dog, shark, crocodile and pigeons.","Rainy, windy and it nevers snows. Just like back in my country!","Dive headfirst off a diving board, Ski, Cut vegetables with a knife, Swim","Trought, or throught.",No,Warmer,"Black, with a drawing of a cow serving drinks.",Yes,5.0,6.0,No,Yes,1,0,1 sibling,Yes,"The guy who does Thor, or Antonio Banderas.",No,No,Yes,",uytdl,u68ep8ilyhdo6eo6dhjr4w6243K6UTY´'+9+70",1.0,No,Yes,Vanilla,59.0,"Big room with tall black towers. The colors vary from black to grey but never go so far as to become white, there are also many red and purple and blue lights.",Yes,Yes,19,Beige,Other Smartphone,Yogurt,"Soliloquy, Hubris",gato,Yes,No,Positive 😊,No,,"Milk, Water","Hola, Alea, Libro, Retornado y tomate.",A little,3.0,"Sub/Hoagie, Open faced sandwich",Dog-Person,Yes,"I did the throwing out thing, but didn't talk to everyone about it"
