,Timestamp,Have you been in a plane?,Have you ever been skydiving,"When you first saw the dress, what was the color?",What's a popular food you don't like?,"When you look at a blue sky, do you see those swirly floaters in your vision? ",Have you ever had a car run out of gas while you were driving it? ,Name the first five animals you can think of,What's the weather like where you are right now?,Which of these can you do reasonably well?,What word can you never seem to spell on the first try? ,Do you eat condiments directly out of the fridge as a snack?,"When you adjust a thermostat that was set by someone else, it's usually because you want the room to be...","What color is the shirt/dress/upper-body-clothing you're wearing right now, if any? ",Do you get colds often? ,Pick a number from 1 to 100,"On a scale of 1 to 10, how good at spelling are you?",Do you know your Myers-Briggs type? ,Do you know your astrological sign? ,How many older siblings do you have? ,How many younger siblings do you have? ,How many twin/triplet/etc. siblings do you have? ,Do you feel sleepy a lot? ,Name a movie star,Do you spend a lot of time in the sun? ,Does broccoli taste bitter to you? ,Do you regularly stay awake much later than you meant to? ,Fill this text box with gibberish by mashing random keyboard keys,"On a scale of 1 to 5, where 1 is terrible and 3 is average, how good a driver do you think you are? ",Do you have any food allergies? ,Have you heard thunder or seen lightning in the past year?,Which do you prefer? ,Pick another number from 1 to 100,"When you think about stuff on the internet, where do you picture it being physically located? Even if you know it's not really how things work, is there a place you imagine websites and social media posts sitting before you look at them? If so, where is it?",Can you roll your tongue?,Can you pick things up with your toes? ,How old are you?,What color are the walls around you right now? ,What kind of cell phone do you have? ,What is the last thing you ate?,Which of these words do you know the meaning of?,"Please type ""cat"" here",Do you usually remember your dreams? ,Do you have strong opinions about text editors?,How do you feel about emoji?,Does it ever snow where you live? ,Do you strongly dislike the taste or texture of any of these things? ,Which of these do you regularly drink,Type five random words,Are you nervous about flying? ,"On a scale of 1 to 5, which number is your favorite? ",Which of these would you consider a sandwich?,Which of these describes you?,Would you say you have a good sense of direction? ,"Have you ever thrown out all your different pairs of socks/underwear, bought a bunch of replacements that were all one kind, and then told all your friends how great it was and how they should do it too? "
209,12/10/2018 20:59:54,Yes,No,I don't remember,cheese,"Yes, occasionally",No,Baboon leopard cheetah mouse mushroom,"blue, crispy, and salty","Dive headfirst off a diving board, Swim",dosnt,No,Warmer,blue,No,4.0,6.0,No,No,0,0,0,Yes,chuck norris,No,No,No,Ffffffffffffffffff%fff%,1.0,No,No,Chocolate,1.0,In a spiderweb,Yes,Yes,,white,Android,Peas,"Amiable, Salient, Lithe, Hubris",no,Yes,Yes,Neutral 😐,No,Eggs,"Noncaffeinated Soda, Milk, Tea, Water",So the and I was,No,2.0,"Taco, Sub/Hoagie, Hamburger, Open faced sandwich",Dog-Person,No,No
332,5/7/2019 1:01:07,Yes,No,What dress?,baked beans,"Yes, occasionally",No,mouse fox dog cat and um... elephant i dunno,it rains methane and ethane here,,phenolphthalein,No,Cooler,blue,Yes,6.21,8.0,No,No,0,"according to Fermi estimation, 1",0,Yes,what's a movie star,No,Yes,Yes,gibberish by mashing random keyboard keys,2.0,No,Yes,Chocolate,9.26,on other people's computers,No,Yes,"according to Fermi estimation, 10",orang,Android,yes,"Regolith, Hubris","""cat"" here",No,No,Positive 😊,No,,"Caffeinated Soda, Noncaffeinated Soda, Coffee, Fruit Juice, Milk, Water",i can't it's too hard,Yes,3.0,"Taco, Quesadilla, Sub/Hoagie, Cheesesteak, Hamburger, Calzone",Part of a subterranean race of dog people,No,No
300,3/18/2019 19:04:54,Yes,"No, but maybe someday.",Blue and Black,,"Yes, occasionally",No,"lizard, cat, dog, human, kangaroo",cloudy,"Roller skate, Ice skate, Skateboard, Ski, Cut vegetables with a knife, Swim",character,Yes,Cooler,white,No,4.0,10.0,Yes,Yes,0,1,0,Yes,dwayne johnson,Yes,No,Yes,"wr'okfgnerjkngerqwerjifgweroijq23porkq]342;r2452
4r
qweqwerqwer",5.0,No,Yes,Vanilla,5.0,huge warehouse filled with hdds,Yes,Yes,14,green,Other Smartphone,weet bix,"Rife, Soliloquy, Tribution, Regolith, Hubris, Apricity",cat,No,Yes,Negative 😠,Yes,,"Milk, Tea, Maple Syrup, Water","alex, yeet, yeets, yeeting, yeeted",A little,4.0,"Sub/Hoagie, Hamburger, Open faced sandwich, Calzone",Part of a subterranean race of dog people,Yes,"No, but I'm totally doing that now"
608,5/26/2020 21:39:01,Yes,No,,idk,No,No,Dog Dolphin Giraffe Lion Bear,clear,"Cut vegetables with a knife, Swim",onamonapea ,No,Cooler,navy,No,3.0,7.0,No,No,0,2,0,Yes,no,No,No,Yes,"sez6xrcyuvgibreo[q,2gtpmveiqo[w VF",2.0,No,Yes,Vanilla,6.0,the show cyberchase,No,Yes,17,Beige,iPhone,chicken,"Rife, Soliloquy, Tribution, Amiable, Salient, Regolith, Revergent, Hubris",cat,No,No,Neutral 😐,Yes,"Beer, White wine, Red wine","Caffeinated Soda, Fruit Juice, Beer, Water",ok no yeah this sucks,No,1.0,"Sub/Hoagie, Cheesesteak, Hamburger","Dog-Person, Cat-Person",Yes,"No, but I'm totally doing that now"
221,1/1/2019 4:53:21,Yes,"No, but maybe someday.",Blue and Black,American cheese,"Yes, occasionally",No,"Dog, cat, tardigrade, fish, octopus",Cold,"Solve a Rubik's cube, Cut vegetables with a knife, Swim",Their,No,Warmer,None,No,6.0,7.0,No,No,0,2,7,Yes,Mark Hamill,No,No,Yes,Ifcif udxud urairaitsitzit958tzitzkg,3.0,Yes,Yes,Vanilla,76.0,In the computer itself,Yes,Yes,3.141592654,Blue,Android,My blood,"Rife, Soliloquy, Amiable, Lithe, Hubris, Fleek",Cat,No,No,Neutral 😐,Yes,"Beer, Coffee","Milk, Water","Amniotic, pizza, underwear, Apollo, bedframe",A little,3.0,"Taco, Quesadilla, Sub/Hoagie, Hamburger","Dog-Person, Part of a subterranean race of dog people, Literally named ""Catherine Person""",No,No
156,10/17/2018 9:48:43,Yes,No,What dress?,Cobb salad,I'm not sure what things you mean,No,"Dog, Cat, Giraffe, Monkey, Lizard",Rainy,"Dunk a basketball, Cut vegetables with a knife, Swim",Phoenix,No,Cooler,White / Black,No,87.0,9.0,Yes,Yes,0,0,0,Yes,Robert Downey Jr.,No,Yes,Yes,mkqzokmqsosxinxwdnijdeijndechuechubrbygvbgyvtbhuvhufrcjniedcnjimiwsxmkzswmokzokmaqzkmozkmiswxmijindenijdcnijfrnijfvhfrhvhubfvhuvnrfjvnrubfvyurf,2.0,No,Yes,Vanilla,63.0,"Burbank, California",Yes,Yes,15,white,iPhone,A sandwich,"Amiable, Lithe, Hubris","""cat""",Yes,No,Neutral 😐,Yes,"Beer, White wine, Carbonation (fizz), Red wine, Cilantro, Coffee, Tomatoes","Fruit Juice, Milk, Water","Arrow, Ball, Plethora, Argue, Eagle",A little,5.0,"Quesadilla, Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich","Dog-Person, Cat-Person",Yes,No
465,10/23/2019 12:41:13,Yes,No,What dress?,Broccoli,I'm not sure what things you mean,No,Cat dog impala okapi surikata,Foggy,"Roller skate, Dive headfirst off a diving board, Ice skate, Swim",Anything ending with lly.,No,Warmer,White,No,91.0,10.0,No,Yes,1,1,0,No,Claire Danes,No,No,No,Shdufidjeh,5.0,No,Yes,Chocolate,91.0,I don't. ,What?,No,30,White,Android,Beef mash,Regolith,"""cat""",No,Yes,Positive 😊,Yes,,"Coffee, Milk, Beer, Wine, Water",Push hudby cruddy srdíčko minute. ,No,1.0,,Cat-Person,Yes,No
327,4/29/2019 6:30:58,Yes,No,Blue and Black,Peanut Butter,"Yes, occasionally",No,Hamster Mouse Cat Dog Elephant,Nice,"Drive a stick shift, Ice skate, Ski, Cut vegetables with a knife, Swim",Purpose,No,Cooler,black,Yes,42.0,5.0,Yes,Yes,0,0,0,Yes,Matt Damon,No,Yes,No,riushnoudfbvsoudbvurbvsunviungbiurnbposfkvlasdfjaefpaoifjvpsofnpsjddnroivuernvo,4.0,No,Yes,Vanilla,42.0,Server room in Milton Keynes,Yes,Yes,26,Yellow,Android,Cerial,"Rife, Soliloquy, Amiable, Salient, Regolith, Lithe, Hubris",cat,Yes,No,Neutral 😐,Yes,,"Coffee, Fruit Juice, Beer, Tea, Water",Sausage Nova Quill Astromancy Seven,A little,4.0,"Sub/Hoagie, Cheesesteak, Hamburger",Half-Cat Half-Person,Yes,No
337,5/13/2019 11:50:56,Yes,"No, but maybe someday.",Blue and Black,none,I'm not sure what things you mean,No,"cow, dog, turtle, bunny, bird",partly cloudy,"Roller skate, Dive headfirst off a diving board, Ice skate, Cut vegetables with a knife, Swim","like all words,,",No,Warmer,cream,No,69.0,4.0,No,Yes,0,0,1,No,brie larson,Yes,No,No,skksksfjkskdjdskjdksjdksjlajdkslljdoiwe;hnfajwfi;,1.0,No,Yes,Chocolate,99.0,like some cyberspace AU,No,Yes,14,white,iPhone,a hersheys kiss,"Rife, Soliloquy, Stipple, Tribution, Hubris","""cat""",No,No,Negative 😠,Yes,,"Tea, Water","cardboard, math, meth, bubbles, paint",No,4.0,"Sub/Hoagie, Hamburger",Part of a subterranean race of dog people,No,No
277,3/5/2019 20:18:20,No,No,Blue and Black,Bacon,"Yes, occasionally",No,cat dog bird squirrel elephant,"The sun is out, but it's a bit chilly.","Cut vegetables with a knife, Change the oil on a car",Tomorrow,No,Warmer,Grayish-pink and black,Yes,69.0,7.0,Yes,Yes,0,3,0,Yes,Priyanka Chopra,No,Yes,Yes,fifhweoihfbvdbd2389gbaudib8gb489gvbcuegv ,3.0,No,Yes,Vanilla,20.0,"No, not really.",Yes,Yes,20,Eggshell white,iPhone,Vanilla Pudding Cake,"Rife, Soliloquy, Amiable, Salient, Lithe, Hubris, Fleek",cat,No,No,Neutral 😐,Yes,"Eggs, Cilantro, Tomatoes","Caffeinated Soda, Coffee, Fruit Juice, Water",book cup fry stupid wing,A little,4.0,"Sub/Hoagie, Hamburger, Open faced sandwich",Cat-Person,No,No
