,Timestamp,Have you been in a plane?,Have you ever been skydiving,"When you first saw the dress, what was the color?",What's a popular food you don't like?,"When you look at a blue sky, do you see those swirly floaters in your vision? ",Have you ever had a car run out of gas while you were driving it? ,Name the first five animals you can think of,What's the weather like where you are right now?,Which of these can you do reasonably well?,What word can you never seem to spell on the first try? ,Do you eat condiments directly out of the fridge as a snack?,"When you adjust a thermostat that was set by someone else, it's usually because you want the room to be...","What color is the shirt/dress/upper-body-clothing you're wearing right now, if any? ",Do you get colds often? ,Pick a number from 1 to 100,"On a scale of 1 to 10, how good at spelling are you?",Do you know your Myers-Briggs type? ,Do you know your astrological sign? ,How many older siblings do you have? ,How many younger siblings do you have? ,How many twin/triplet/etc. siblings do you have? ,Do you feel sleepy a lot? ,Name a movie star,Do you spend a lot of time in the sun? ,Does broccoli taste bitter to you? ,Do you regularly stay awake much later than you meant to? ,Fill this text box with gibberish by mashing random keyboard keys,"On a scale of 1 to 5, where 1 is terrible and 3 is average, how good a driver do you think you are? ",Do you have any food allergies? ,Have you heard thunder or seen lightning in the past year?,Which do you prefer? ,Pick another number from 1 to 100,"When you think about stuff on the internet, where do you picture it being physically located? Even if you know it's not really how things work, is there a place you imagine websites and social media posts sitting before you look at them? If so, where is it?",Can you roll your tongue?,Can you pick things up with your toes? ,How old are you?,What color are the walls around you right now? ,What kind of cell phone do you have? ,What is the last thing you ate?,Which of these words do you know the meaning of?,"Please type ""cat"" here",Do you usually remember your dreams? ,Do you have strong opinions about text editors?,How do you feel about emoji?,Does it ever snow where you live? ,Do you strongly dislike the taste or texture of any of these things? ,Which of these do you regularly drink,Type five random words,Are you nervous about flying? ,"On a scale of 1 to 5, which number is your favorite? ",Which of these would you consider a sandwich?,Which of these describes you?,Would you say you have a good sense of direction? ,"Have you ever thrown out all your different pairs of socks/underwear, bought a bunch of replacements that were all one kind, and then told all your friends how great it was and how they should do it too? "
75,7/14/2018 20:11:12,Yes,"No, but maybe someday.",What dress?,food,"Yes, occasionally",No,dog cat ur mom elephant giraffe,i live in a cave deep deep below the earth,"Dive headfirst off a diving board, Ski, Cut vegetables with a knife, Swim",words,Yes,Cooler,it changes according to the path of the sun,Yes,47.0,9.0,Yes,Yes,12,1423,10000,Yes,james dean,No,No,Yes,ohfaeohfowejlievliugnreoir430902mldsfpowjefpwefw,1.0,No,Yes,Vanilla,24.0,on my computer screen,Yes,Yes,1,color of the void,Android,you,"Rife, Soliloquy, Stipple, Amiable, Salient, Lithe, Hubris",tac,No,No,Neutral 😐,No,"Beer, White wine, Carbonation (fizz), Red wine, Coffee","Maple Syrup, Water",ofwjef fpwjepfiw pefipw piei ff,Yes,2.0,"Taco, Quesadilla, Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich, Calzone",Half-Cat Half-Person,Yes,No
191,11/22/2018 18:29:09,Yes,No,I don't remember,vegemite,"Yes, occasionally",No,"snake, bear, dog, crocodile, cat",kinda cloudy,"Cut vegetables with a knife, Swim",rhythm,Yes,Warmer,blue,No,52.0,8.0,No,Yes,0,2,0,No,Keanu Reeves,No,No,Yes,"kdfuwheyroigdfjnoiuktghdbvk,fjh",1.0,No,Yes,Chocolate,5.0,um sort of but not sure where...,Yes,Yes,13,brick-colour,iPhone,food.,"Soliloquy, Amiable, Salient, Lithe, Hubris","""cat"" here",Yes,No,Neutral 😐,No,"Beer, White wine, Carbonation (fizz), Red wine, Cilantro, Coffee","Fruit Juice, Water","alphabet, hello, keep, book, computer",A little,3.0,"Taco, Quesadilla, Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich, Calzone","Dog-Person, Cat-Person, Half-Cat Half-Person, Part of a subterranean race of dog people",No,"No, but I'm totally doing that now"
224,1/7/2019 19:01:05,Yes,"No, but maybe someday.",White and Gold,salt and vinegar crisps,"Yes, occasionally",No,giraffe hippo alligator cat dog,cold,"Cut vegetables with a knife, Swim, Juggle",belligerent ,No,Cooler,I'm NAKEY,No,62.0,10.0,No,Yes,1,1,none,Yes,Russell Crowe,No,No,Yes,"/jbkucfkhyxdryftuiygubhjl ,n",1.0,No,Yes,Chocolate,73.0,not really,Yes,Yes,26,white,Android,doritos,"Rife, Soliloquy, Amiable, Salient, Regolith, Hubris, Fleek",cat,Yes,No,Positive 😊,Yes,"Beer, Carbonation (fizz)","Caffeinated Soda, Coffee, Milk, Water",soldier data time relinquish topsy,No,3.0,Sub/Hoagie,Dog-Person,No,No
560,3/9/2020 3:23:49,Yes,"No, but maybe someday.",Blue and Black,sushi,"Yes, occasionally",No,jaguar eagle newt dog pig,clear,"Ice skate, Ski, Cut vegetables with a knife, Swim",coquina,Yes,Cooler,blue,Yes,37.0,8.0,Yes,Yes,0,0,0,Yes,judy garland,No,Yes,Yes,"lkjf peoirqlk;[Pq] 
kjhpo q0832 {Qw '",1.0,No,No,Vanilla,82.0,floating in the air,What?,Yes,,extremely pale green,Android,noodles,"Slickle, Rife, Soliloquy, Amiable, Salient, Regolith, Lithe, Hubris",cat,Yes,Yes,Neutral 😐,No,"Eggs, Cilantro, Tomatoes","Caffeinated Soda, Fruit Juice, Milk, Water",cat apple fork quote hat,A little,3.0,"Hamburger, Open faced sandwich",Cat-Person,No,No
155,10/15/2018 14:40:43,Yes,"No, but maybe someday.",White and Gold,seafood,"Yes, occasionally",No,lion giraffe zebra cat possum,Don't know. Night time?,"Drive a stick shift, Solve a Rubik's cube, Swim",anatidaephobia,No,Warmer,Black,Yes,70.0,8.0,No,Yes,1,0,0,No,Kevin Bacon,No,No,Yes,dfbrsdggfnytjlosdztrby,3.0,No,Yes,Vanilla,41.0,folders in a remote undergroud military base,Yes,Yes,22,white,Android,raclette,"Soliloquy, Amiable, Regolith, Lithe, Hubris",cat,No,No,Neutral 😐,Yes,"Beer, Coffee","Caffeinated Soda, Fruit Juice, Milk",school duck company lion vendetta,No,4.0,Open faced sandwich,Dog-Person,Yes,No
345,5/18/2019 15:36:54,Yes,"No, but maybe someday.",What dress?,Nutella,"Yes, occasionally",No,"Dolphin, squirrel, Dragon, Sea Serpent, Moose",Let me check...Bright cloudy,"Tie a sheet bend or bowline, Ice skate, Cut vegetables with a knife",taut,No,Cooler,blue with small white stripes,No,43.0,9.0,No,No,4,2,0,Yes,Robert Downey Jr.,Yes,No,Yes,ZXNjrhjq[wpsdlkde[tkhj=3-0\,2.0,Yes,Yes,Vanilla,23.0,,What?,Yes,17,White,I don't have a phone,Water,"Rife, Soliloquy, Tribution, Amiable, Salient, Lithe, Hubris","""cat""",No,No,Neutral 😐,Yes,"Beer, White wine, Red wine, Coffee, Tomatoes","Noncaffeinated Soda, Milk, Water","pneumonoultramicroscopicsilicovolcanoconiosis, bugs, microphone, Sherlock, hat",No,3.0,"Sub/Hoagie, Hamburger",Cat-Person,Yes,No
143,10/6/2018 15:12:02,Yes,No,White and Gold,chili,I'm not sure what things you mean,No,"cat, dog, lion, elephant, camel",cold,"Tie a sheet bend or bowline, Drive a stick shift, Solve a Rubik's cube, Cut vegetables with a knife, Swim, Juggle",necesary,No,Warmer,grey,No,102.0,8.0,No,No,0,0,0,Yes,Tom Hanks,Yes,I never had it,Yes,kojhyjhgfdesaswzxdfcyguvbi,4.0,No,Yes,Vanilla,103.0,An actual cloud,No,No,17,white,Android,cookies,Amiable,"""cat""",No,No,Negative 😠,Yes,"Beer, White wine, Carbonation (fizz), Red wine, Cilantro, Tomatoes","Caffeinated Soda, Milk, Maple Syrup, Water",five random words,A little,4.0,"Sub/Hoagie, Hamburger","Cat-Person, Half-Cat Half-Person",Yes,No
533,1/21/2020 21:09:09,Yes,No,White and Gold,Bell peppers ,"Yes, constantly",No,"Cat, dog, penguin, triceratops, brontosaurus ",Cold,"Roller skate, Dive headfirst off a diving board, Ice skate, Walk on stilts, Cut vegetables with a knife, Swim, Ride a horse",Fuchsia,No,Warmer,Blue,Yes,13.0,10.0,Yes,Yes,0,7,0,Yes,Robert Redford ,No,Yes,Yes,Yreajytdyfcvjhggiytdtrsjtrs,3.0,No,Yes,Chocolate,69.0,"The router, maybe? ",Yes,Yes,29,Beige,Android,Cheese,"Rife, Soliloquy, Stipple, Amiable, Salient, Regolith, Lithe, Fleek",“cat” here,Yes,No,Neutral 😐,Yes,"Beer, Carbonation (fizz)","Coffee, Milk, Tea, Water",Fish brontosaurus ecclesiastic snow sharpei ,No,5.0,"Taco, Quesadilla, Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich, Calzone","Dog-Person, Cat-Person, Half-Cat Half-Person",No,"I did the throwing out thing, but didn't talk to everyone about it"
326,4/23/2019 23:51:10,Yes,No,White and Gold,Strawberries,"Yes, constantly",No,bee wildebeest scorpion catamount bat,Summery,Cut vegetables with a knife,No trouble spelling,No,Cooler,Black,Yes,27.0,10.0,No,Yes,"1 bio, 2 step",1 step,Zero,Yes,Robert Downey Jr,No,No,Yes,gibberish by mashing random keyboard keysssssssssssssss,1.0,No,Yes,Chocolate,27.0,A very loud server room,Yes,Yes,23,White and citron,iPhone,Pasta,"Rife, Soliloquy, Stipple, Amiable, Salient, Regolith, Lithe, Hubris, Fleek",cat,Yes,No,Neutral 😐,Yes,"Beer, White wine, Red wine, Coffee","Caffeinated Soda, Noncaffeinated Soda, Water",Dark aromatic obtuse tarantula why,A little,3.0,"Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich","Cat-Person, Half-Cat Half-Person",No,No
130,9/10/2018 17:42:19,No,No,Blue and Black,French Fries,"Yes, occasionally",No,Lion Turtle Dog Dolphin Cat,Clear,Cut vegetables with a knife,-ght,No,Cooler,Red,No,50.0,5.0,No,Yes,0,0,0,No,Justin Beaver,No,I never had it,Yes,"viahnlz;loasjf9oirs94kmlsdfkdjsioapaw0pfw[v,v'/cxcmijvospz""'msinUAwnifmo",1.0,No,Yes,Chocolate,70.0,Building,What?,Yes,19,White,Android,Potato,"Tribution, Amiable, Regolith, Hubris",cat,No,No,Neutral 😐,Yes,"Beer, White wine, Red wine, Cilantro, Coffee, Tomatoes, Yogurt","Caffeinated Soda, Noncaffeinated Soda, Milk, Water",Mice Water Horse Elephant Canon,Yes,3.0,"Taco, Hamburger, Open faced sandwich",Cat-Person,No,No
